k-ua-z^	0-0-0	กัวะ

c-ua-z^	0-0-1	จัวะ

ch-ua-z^	0-0-2	ฉัวะ

t-ua-z^	0-0-3	ตัวะ

l-ua-z^	0-0-4	ลัวะ

phl-ua-z^	0-0-5	ผลัวะ

ph-ua-z^	0-0-6	ผัวะ

j-ua-z^	0-0-7	ยัวะ

kr-i-j^	1-1-8	กริย

r-i-j^	1-1-9	ริย

k-i-j^	1-1-0	กิย

kh-i-j^	1-1-10	ขิย

khr-i-j^	1-1-11	คริย

c-i-j^	1-1-1	จริย,จิย

ch-i-j^	1-1-2	ชิย

p-i-j^	1-1-12	ปิย

d-i-j^	1-1-13	ฎิย,ดิย

tr-i-j^	1-1-14	ตริย

n-i-j^	1-1-15	นิย

th-i-j^	1-1-16	ถิย,ทิย,ธิย

pr-i-j^	1-1-17	ปริย

t-i-j^	1-1-3	ติย,ฏิย

f-i-j^	1-1-18	ฟิย

ph-i-j^	1-1-6	พิย,ภิย

s-i-j^	1-1-19	ศิย,สริย,ศริย

l-i-j^	1-1-4	ฬิย

w-i-j^	1-1-20	วิย

m-i-j^	1-1-21	มิย

kr-i-p^	1-2-8	กริบ,กริบส์

k-i-p^	1-2-0	กิบบ์,กิป,กิฟ,กิฟท์,กิฟต์

kw-i-p^	1-2-22	กวิบ,กวิป

khr-i-p^	1-2-11	ขริบ,คริปป์,คริปต์,คริปค์

khw-i-p^	1-2-23	ควิป

khl-i-p^	1-2-24	ขลิบ,คลิปป์,คลิฟ,คลิฟอร์,คลิฟฟ์,คลิบ

kh-i-p^	1-2-10	คิร์ฟ,คิบ,คิป,คิพ,คิฟ

ng-i-p^	1-2-25	งิบ

c-i-p^	1-2-1	จิบ,จิฟ,จิป

ch-i-p^	1-2-2	ฉิบ,ชิฟห์,ชิพ,ชิพท์,ชิพส์,ชิป

d-i-p^	1-2-13	ดิพ,ดิบ,ดิฟฟ์,ฎิบ,ฎิภ,ฎิพ,ฎิป,ดิพงษ์,ดิร์ฟ,ดิภ,ดิฟส์

tr-i-p^	1-2-14	ตริบ,ตริบส์

th-i-p^	1-2-16	ฒิบ,ฒิพงษ์,ฐิพงษ์,ธิพงษ์,ถิบ,ถิพ,ธิภ,ธิบ,ธิป,ธิปร,ทิพ,ทิพย์,ทิพท์,ทิป,ทิปส์,ทิฟ,ทิบ,ธิปตย์,ธิปต์,ธิปติ์

n-i-p^	1-2-15	ณิพ,นิพ,นิปส์,นิพนธ์,นิพจน์,นิพงษ์,นิภ,นิร์ภ,นิร์ฟ,นิร์บ,นิบ

br-i-p^	1-2-26	บริบ,บริพ,บริภ

t-i-p^	1-2-3	ติพ,ฏิพ,ติบ,ติป,ติปร,ติพงษ์,ติพจน์,ติภ,ฏิบ,ฏิภ,ฏิป

ph-i-p^	1-2-6	พิบ,พิพ,ภิพงษ์,พิภ,ภิภ,พิพงษ์,พิพฒน์,ภิบ,ภิป,ภิปร

l-i-p^	1-2-4	ลิปป์,ลิฟฟ์,ลิบ,ลิฟส์,ลิปส์,ลิปต์,ลิฟอร์,ลิฟต์,ลิฟท์

s-i-p^	1-2-19	ซิบ,ซิป,ซิร์พ,ซิร์บ,ซิร์ฟ,ซิฟส์,สิร์ฟ,ทริป,ทริปส์,สิบ,ศิป,ศิปร,สิฐ์พ

