ก	18-0-0|,7-0-0|,	ก|,ก|,
กม	5-7-0|,5-7-0|18-0-21|,	ก|,ก|ม|,
ม	18-0-21|,7-0-21|,	ม|,ม|,
มล	5-3-21|,5-3-21|18-0-4|,	ม|,ม|ล|,
มา	6-0-21|,	ม|,
มาย	6-1-21|,6-1-21|18-0-7|,	ม|,ม|ย|,
มาก	6-6-21|,6-6-21|18-0-0|,	ม|,ม|ก|,
มาล	6-3-21|,6-3-21|18-0-4|,	ม|,ม|ล|,
มาลย์	6-3-21|,6-0-21|,	ม|,ม|,
มาร	6-3-21|,	ม|,
มาร์	6-0-21|,	ม|,
มส	5-8-21|,5-8-21|18-0-19|,	ม|,ม|ส|,
กมส์	5-7-0|,	ก|,
มัย	18-1-21|,18-1-21|18-0-7|,	ม|,ม|ย|,
มัก	18-6-21|,18-6-21|18-0-0|,	ม|,ม|ก|,
มัน	18-3-21|,18-3-21|18-0-15|,	ม|,ม|น|,
มัต	18-8-21|,18-8-21|18-0-3|,	ม|,ม|ต|,
มือ	8-0-21|,	ม|,
มวย	10-1-21|,18-0-21|5-1-20|,10-1-21|18-0-7|,	ม|,ม|ว|,ม|ย|,
มิ	1-0-21|,	ม|,
มิน	1-3-21|,1-3-21|18-0-15|,	ม|,ม|น|,
มินท์	1-3-21|,1-0-21|,	ม|,ม|,
มก	5-6-21|,5-6-21|18-0-0|,	ม|,ม|ก|,
มุ	9-0-21|,	ม|,
มุน	9-3-21|,9-3-21|18-0-15|,	ม|,ม|น|,
มุท	9-8-21|,9-8-21|18-0-16|,	ม|,ม|ท|,
มุก	9-6-21|,9-6-21|18-0-0|,	ม|,ม|ก|,
มม	5-7-21|,5-7-21|18-0-21|,	ม|,ม|ม|,
มต	5-8-21|,5-8-21|18-0-3|,	ม|,ม|ต|,
มะ	18-0-21|,	ม|,
มี	11-0-21|,	ม|,
มีด	11-8-21|,	ม|,
มน	5-3-21|,5-3-21|18-0-15|,	ม|,ม|น|,
มษ	5-8-21|,5-8-21|18-0-19|,	ม|,ม|ษ|,
มธ	5-8-21|,5-8-21|18-0-16|,	ม|,ม|ธ|,
มค	5-6-21|,5-6-21|18-0-10|,	ม|,ม|ค|,
มด	5-8-21|,	ม|,
กู	4-0-0|,	ก|,
กูล	4-3-0|,4-3-0|18-0-4|,	ก|,ก|ล|,
ล	18-0-4|,7-0-4|,	ล|,ล|,
กูลย์	4-0-0|,4-3-0|,	ก|,ก|,
กูย	4-1-0|,4-1-0|18-0-7|,	ก|,ก|ย|,
ย	18-0-7|,7-0-7|,	ย|,ย|,
กูด	4-8-0|,	ก|,
กูดส์	4-0-0|,4-8-0|,	ก|,ก|,
กูด์	4-0-0|,	ก|,
กูภ	4-2-0|,4-2-0|18-0-6|,	ก|,ก|ภ|,
ภ	18-0-6|,7-0-6|,	ภ|,ภ|,
กูร	4-3-0|,	ก|,
กูร์	4-0-0|,	ก|,
กูฏ	4-8-0|,4-8-0|18-0-3|,	ก|,ก|ฏ|,
ฏ	18-0-3|,	ฏ|,
กูป	4-2-0|,4-2-0|18-0-12|,	ก|,ก|ป|,
ป	18-0-12|,7-0-12|,	ป|,ป|,
กูว์	4-0-0|,	ก|,
กูน	4-3-0|,4-3-0|18-0-15|,	ก|,ก|น|,
น	18-0-15|,7-0-15|,	น|,น|,
กูบ	4-2-0|,	ก|,
กูต	4-8-0|,4-8-0|18-0-3|,	ก|,ก|ต|,
ต	18-0-3|,7-0-3|,	ต|,ต|,
กูณ	4-3-0|,4-3-0|18-0-15|,	ก|,ก|ณ|,
ณ	18-0-15|,7-0-15|,	ณ|,ณ|,
กูณฐ์	4-0-0|,4-3-0|,	ก|,ก|,
ร	18-0-9|,7-0-9|,	ร|,ร|,
กร	7-3-0|,18-0-8|,7-0-0|18-0-9|,	ก|,กร|,ก|ร|,
กรร	7-3-8|,18-3-0|,	กร|,ก|,
กรรม	18-7-0|,18-7-0|18-0-21|,	ก|,ก|ม|,
กรรม์	7-3-0|,7-3-8|,18-3-0|,	ก|,กร|,ก|,
กรรจ	18-8-0|,18-8-0|18-0-1|,	ก|,ก|จ|,
จ	18-0-1|,7-0-1|,	จ|,จ|,
กรรจ์	7-3-0|,7-3-8|,18-3-0|,	ก|,กร|,ก|,
กรรณ	18-3-0|,18-3-0|18-0-15|,	ก|,ก|ณ|,
กรรณ์	7-3-0|,7-3-8|,18-3-0|,	ก|,กร|,ก|,
ณี	11-0-15|,	ณ|,
ณา	6-0-15|,	ณ|,
กรรฐ	18-8-0|,18-8-0|18-0-16|,	ก|,ก|ฐ|,
ฐ	18-0-16|,7-0-16|,	ฐ|,ฐ|,
กรรฐ์	7-3-0|,7-3-8|,18-3-0|,	ก|,กร|,ก|,
กรุ	9-0-8|,18-0-0|9-0-9|,	กร|,ก|ร|,
รุ	9-0-9|,	ร|,
กรุง	9-4-8|,18-0-0|9-4-9|,	กร|,ก|ร|,
รุง	9-4-9|,	ร|,
กรุก	9-6-8|,18-0-0|9-6-9|,9-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
รุก	9-6-9|,9-6-9|18-0-0|,	ร|,ร|ก|,
กรุป	9-2-8|,18-0-0|9-2-9|,9-2-8|18-0-12|,	กร|,ก|ร|,กร|ป|,
รุป	9-2-9|,9-2-9|18-0-12|,	ร|,ร|ป|,
กรุปส์	9-0-8|,9-2-8|,18-0-0|9-2-9|,	กร|,กร|,ก|ร|,
รุปส์	9-2-9|,9-0-9|,	ร|,ร|,
กรุปร	9-2-8|,18-0-0|9-2-9|,	กร|,ก|ร|,
รุปร	9-2-9|,	ร|,
กรุณ	9-3-8|,18-0-0|9-3-9|,9-3-8|18-0-15|,	กร|,ก|ร|,กร|ณ|,
รุณ	9-3-9|,9-3-9|18-0-15|,	ร|,ร|ณ|,
กรุณ์	9-0-8|,18-0-0|9-0-9|,	กร|,ก|ร|,
รุณ์	9-0-9|,	ร|,
กรุด	9-8-8|,18-0-0|9-8-9|,	กร|,ก|ร|,
รุด	9-8-9|,	ร|,
กรุน	9-3-8|,18-0-0|9-3-9|,9-3-8|18-0-15|,	กร|,ก|ร|,กร|น|,
รุน	9-3-9|,9-3-9|18-0-15|,	ร|,ร|น|,
กรุนด์	9-0-8|,9-3-8|,18-0-0|9-3-9|,	กร|,กร|,ก|ร|,
รุนด์	9-3-9|,9-0-9|,	ร|,ร|,
กรุม	9-7-8|,18-0-0|9-7-9|,9-7-8|18-0-21|,	กร|,ก|ร|,กร|ม|,
รุม	9-7-9|,9-7-9|18-0-21|,	ร|,ร|ม|,
กรุย	9-1-8|,18-0-0|9-1-9|,9-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
รุย	9-1-9|,9-1-9|18-0-7|,	ร|,ร|ย|,
กรุบ	9-2-8|,18-0-0|9-2-9|,	กร|,ก|ร|,
รุบ	9-2-9|,	ร|,
กรม	5-7-8|,18-0-0|5-7-9|,5-7-8|18-0-21|,	กร|,ก|ร|,กร|ม|,
รม	5-7-9|,5-7-9|18-0-21|,	ร|,ร|ม|,
กรมณฑ์	5-7-8|,	กร|,
กรม์	7-3-0|,	ก|,
กระ	18-0-8|,18-0-0|18-0-9|,	กร|,ก|ร|,
ระ	18-0-9|,	ร|,
กรัฐ	18-8-8|,18-0-0|18-8-9|,18-8-8|18-0-16|,	กร|,ก|ร|,กร|ฐ|,
รัฐ	18-8-9|,18-8-9|18-0-16|,	ร|,ร|ฐ|,
กรัม	18-7-8|,18-0-0|18-7-9|,18-7-8|18-0-21|,	กร|,ก|ร|,กร|ม|,
รัม	18-7-9|,18-7-9|18-0-21|,	ร|,ร|ม|,
กรัง	18-4-8|,18-0-0|18-4-9|,	กร|,ก|ร|,
รัง	18-4-9|,	ร|,
กรังด์	18-4-8|,18-0-0|18-4-9|,	กร|,ก|ร|,
รังด์	18-4-9|,	ร|,
กรับ	18-2-8|,18-0-0|18-2-9|,	กร|,ก|ร|,
รับ	18-2-9|,	ร|,
กรัก	18-6-8|,18-0-0|18-6-9|,18-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
รัก	18-6-9|,18-6-9|18-0-0|,	ร|,ร|ก|,
กรัน	18-3-8|,18-0-0|18-3-9|,18-3-8|18-0-15|,	กร|,ก|ร|,กร|น|,
รัน	18-3-9|,18-3-9|18-0-15|,	ร|,ร|น|,
กรัณ	18-3-8|,18-0-0|18-3-9|,18-3-8|18-0-15|,	กร|,ก|ร|,กร|ณ|,
รัณ	18-3-9|,18-3-9|18-0-15|,	ร|,ร|ณ|,
กรัณย์	18-3-8|,18-0-0|18-3-9|,	กร|,ก|ร|,
รัณย์	18-3-9|,	ร|,
กรัย	18-1-8|,18-0-0|18-1-9|,18-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
รัย	18-1-9|,18-1-9|18-0-7|,	ร|,ร|ย|,
กรอ	7-0-8|,18-0-0|7-0-9|,	กร|,ก|ร|,
รอ	7-0-9|,	ร|,
กรอบ	7-2-8|,18-0-0|7-2-9|,	กร|,ก|ร|,
รอบ	7-2-9|,18-0-9|5-2-27|,	ร|,ร|อ|,
กรอง	7-4-8|,18-0-0|7-4-9|,	กร|,ก|ร|,
รอง	7-4-9|,18-0-9|5-4-27|,	ร|,ร|อ|,
กรอก	7-6-8|,18-0-0|7-6-9|,7-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
รอก	7-6-9|,18-0-9|5-6-27|,7-6-9|18-0-0|,	ร|,ร|อ|,ร|ก|,
กรอย	7-1-8|,18-0-0|7-1-9|,7-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
รอย	7-1-9|,18-0-9|5-1-27|,7-1-9|18-0-7|,	ร|,ร|อ|,ร|ย|,
กรอน	7-3-8|,18-0-0|7-3-9|,7-3-8|18-0-15|,	กร|,ก|ร|,กร|น|,
รอน	7-3-9|,18-0-9|5-3-27|,7-3-9|18-0-15|,	ร|,ร|อ|,ร|น|,
กรอด	7-8-8|,18-0-0|7-8-9|,	กร|,ก|ร|,
รอด	7-8-9|,18-0-9|5-8-27|,	ร|,ร|อ|,
กรอว	7-5-8|,18-0-0|7-5-9|,7-5-8|18-0-20|,	กร|,ก|ร|,กร|ว|,
รอว	7-5-9|,7-5-9|18-0-20|,	ร|,ร|ว|,
ว	18-0-20|,7-0-20|,	ว|,ว|,
กรอว์	7-3-0|,7-0-8|,18-0-0|7-0-9|,	ก|,กร|,ก|ร|,
รอว์	7-0-9|,	ร|,
กรณ	5-3-8|,18-0-0|5-3-9|,5-3-8|18-0-15|,	กร|,ก|ร|,กร|ณ|,
รณ	5-3-9|,5-3-9|18-0-15|,	ร|,ร|ณ|,
กรณ์	7-3-0|,	ก|,
กรณฑ์	7-3-0|,5-3-8|,18-0-0|5-3-9|,	ก|,กร|,ก|ร|,
รณฑ์	5-3-9|,	ร|,
กรง	5-4-8|,18-0-0|5-4-9|,	กร|,ก|ร|,
รง	5-4-9|,	ร|,
กรา	6-0-8|,18-0-0|6-0-9|,	กร|,ก|ร|,
รา	6-0-9|,	ร|,
กราน	6-3-8|,18-0-0|6-3-9|,6-3-8|18-0-15|,	กร|,ก|ร|,กร|น|,
ราน	6-3-9|,6-3-9|18-0-15|,	ร|,ร|น|,
กรานต์	6-0-8|,6-3-8|,18-0-0|6-3-9|,	กร|,กร|,ก|ร|,
รานต์	6-3-9|,6-0-9|,	ร|,ร|,
กรานด์	6-0-8|,6-3-8|,18-0-0|6-3-9|,	กร|,กร|,ก|ร|,
รานด์	6-3-9|,6-0-9|,	ร|,ร|,
กราว	6-5-8|,18-0-0|6-5-9|,6-5-8|18-0-20|,	กร|,ก|ร|,กร|ว|,
ราว	6-5-9|,6-5-9|18-0-20|,	ร|,ร|ว|,
กราวด์	6-0-8|,6-5-8|,18-0-0|6-5-9|,	กร|,กร|,ก|ร|,
ราวด์	6-5-9|,6-0-9|,	ร|,ร|,
กราวน์	6-0-8|,6-5-8|,18-0-0|6-5-9|,	กร|,กร|,ก|ร|,
ราวน์	6-5-9|,6-0-9|,	ร|,ร|,
กราก	6-6-8|,18-0-0|6-6-9|,6-6-8|18-0-0|,	กร|,ก|ร|,กร|ก|,
ราก	6-6-9|,6-6-9|18-0-0|,	ร|,ร|ก|,
กราค	6-6-8|,18-0-0|6-6-9|,6-6-8|18-0-10|,	กร|,ก|ร|,กร|ค|,
ราค	6-6-9|,6-6-9|18-0-10|,	ร|,ร|ค|,
ค	18-0-10|,7-0-10|,	ค|,ค|,
กราด	6-8-8|,18-0-0|6-8-9|,	กร|,ก|ร|,
ราด	6-8-9|,	ร|,
กราม	6-7-8|,18-0-0|6-7-9|,6-7-8|18-0-21|,	กร|,ก|ร|,กร|ม|,
ราม	6-7-9|,6-7-9|18-0-21|,	ร|,ร|ม|,
กราช	6-8-8|,18-0-0|6-8-9|,6-8-8|18-0-2|,	กร|,ก|ร|,กร|ช|,
ราช	6-8-9|,6-8-9|18-0-2|,	ร|,ร|ช|,
ช	18-0-2|,7-0-2|,	ช|,ช|,
กราง	6-4-8|,18-0-0|6-4-9|,	กร|,ก|ร|,
ราง	6-4-9|,	ร|,
กราฟ	6-2-8|,18-0-0|6-2-9|,	กร|,ก|ร|,
ราฟ	6-2-9|,	ร|,
กราบ	6-2-8|,18-0-0|6-2-9|,	กร|,ก|ร|,
ราบ	6-2-9|,	ร|,
กราย	6-1-8|,18-0-0|6-1-9|,6-1-8|18-0-7|,	กร|,ก|ร|,กร|ย|,
